                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 0.5948,                0.59603,                0.90806,                0.79753,                0.98275,                0.85765,                0.76896,                0.48725,                0.46188,                0.86113,              0.0094159,              0.0094159,              0.0094159
                     61,                0.58426,                0.59587,                0.90273,                 0.8124,                 0.9858,                0.86037,                0.77229,                0.48838,                0.44137,                 0.8608,               0.009406,               0.009406,               0.009406
                     62,                0.58946,                0.60284,                0.89936,                0.81092,                0.99023,                  0.839,                0.75381,                0.49001,                0.44718,                0.86024,              0.0093961,              0.0093961,              0.0093961
                     63,                0.58552,                0.61276,                0.89844,                0.81344,                0.98253,                0.84976,                0.75579,                0.50794,                0.45653,                  0.867,              0.0093862,              0.0093862,              0.0093862
                     64,                0.58686,                0.59151,                 0.9006,                0.81306,                0.98404,                0.85452,                0.77115,                0.48345,                0.43931,                0.86001,              0.0093763,              0.0093763,              0.0093763
                     65,                0.58598,                0.61205,                 0.9031,                0.81097,                  0.986,                0.84585,                0.75816,                0.48848,                0.43414,                0.86048,              0.0093664,              0.0093664,              0.0093664
                     66,                0.58926,                0.61451,                0.89659,                0.81468,                0.98906,                0.84641,                0.76159,                0.48752,                0.43422,                0.86016,              0.0093565,              0.0093565,              0.0093565
                     67,                 0.5782,                0.57792,                 0.9027,                0.81916,                0.99023,                0.85987,                0.76832,                0.48753,                0.42054,                 0.8633,              0.0093466,              0.0093466,              0.0093466
                     68,                 0.5858,                 0.5924,                0.90263,                 0.8149,                0.98421,                0.86188,                0.77858,                0.47102,                0.42383,                 0.8584,              0.0093367,              0.0093367,              0.0093367
                     69,                0.59637,                0.61856,                0.89877,                0.81282,                0.99082,                0.84588,                0.76177,                0.48089,                0.42385,                0.85708,              0.0093268,              0.0093268,              0.0093268
                     70,                0.56522,                0.57772,                0.88602,                0.81015,                0.98303,                0.85429,                0.77314,                0.47892,                0.43107,                0.85836,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.5731,                0.56897,                0.89548,                0.80993,                0.99002,                0.84371,                0.76208,                0.48615,                0.41886,                0.86082,               0.009307,               0.009307,               0.009307
                     72,                 0.5653,                 0.5979,                0.89104,                0.81386,                0.99015,                0.86507,                0.77837,                0.48147,                0.41584,                0.85586,              0.0092971,              0.0092971,              0.0092971
                     73,                0.56752,                 0.5895,                 0.8946,                0.80646,                0.99066,                 0.8549,                0.76716,                0.47905,                0.43645,                0.85765,              0.0092872,              0.0092872,              0.0092872
                     74,                0.58577,                0.58514,                0.89776,                0.81777,                0.99023,                0.85857,                 0.7716,                0.48385,                0.42556,                0.85954,              0.0092773,              0.0092773,              0.0092773
                     75,                0.57098,                0.57517,                0.89731,                0.81479,                0.99041,                 0.8511,                0.76573,                0.47625,                0.42409,                0.85531,              0.0092674,              0.0092674,              0.0092674
                     76,                0.57213,                0.57569,                0.89346,                0.80726,                0.98664,                 0.8544,                0.77059,                 0.4881,                0.42888,                0.85733,              0.0092575,              0.0092575,              0.0092575
